,State_Name,District_Name,Crop_Year,Season,Crop,Area,Production,Rainfall
203,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Arhar/Tur,21400.0,2600.0,662.7
204,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Bajra,1400.0,500.0,662.7
205,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Castor seed,1000.0,100.0,662.7
206,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Cotton(lint),7300.0,9400.0,662.7
207,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Dry chillies,3700.0,7100.0,662.7
208,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Groundnut,650800.0,228400.0,662.7
209,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Horse-gram,3300.0,1000.0,662.7
210,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Jowar,10100.0,10200.0,662.7
211,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Korra,2200.0,700.0,662.7
212,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Maize,2800.0,4900.0,662.7
213,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Moong(Green Gram),1300.0,500.0,662.7
214,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Other Kharif pulses,800.0,100.0,662.7
215,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Ragi,6700.0,11800.0,662.7
216,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Rice,35600.0,75400.0,662.7
217,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sugarcane,700.0,72900.0,662.7
218,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Sunflower,35900.0,11100.0,662.7
219,Andhra Pradesh,ANANTAPUR,1997,Kharif     ,Tobacco,200.0,200.0,662.7
220,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Dry chillies,100.0,100.0,100.85
221,Andhra Pradesh,ANANTAPUR,1997,Rabi       ,Gram,28000.0,14800.0,100.85
